	direccion	latitude	longitude
5	Teodoro García 3500, Colegiales	-34.5800399	-58.4518276
6	3 De Febrero 1200, Belgrano	-34.5683508	-58.444381
7	Av Cordoba 4100, Palermo	-34.5972825	-58.4247846
8	Padilla 1000, Villa Crespo	-34.5973519	-58.4456289
9	Cesar Diaz 2900, Villa del Parque	-34.6144439	-58.47900989999999
0	Avenida Balbin 2500, Belgrano	-34.5622623	-58.4665001
1	Miller 2300, Villa Urquiza	-34.573203	-58.4798189
2	Avenida Boedo 400, Almagro	-34.6171939	-58.4167359
3	Yrigoyen, Hipolito 3600, Almagro	-34.6138727	-58.4172084
4	Julian Alvarez 700, Palermo	-34.598678	-58.4331965
5	Av Libertador 6100, Belgrano	-24.1999503	-65.2817933
6	Adolfo Alsina 500, Centro / Microcentro	0	0
7	Av. Alvarez Jonte 3500 6º, Villa Devoto	-34.6120621	-58.4912414
8	Cordoba 5100, Villa Crespo	-31.3603437	-64.2367019
9	Sarmiento 1800, Congreso	-32.9107305	-60.6856095
0	Reconquista 600, Centro / Microcentro	0	0
1	José Hernández 1500, Belgrano	-34.5604531	-58.4441564
2	Catamarca 600, Balvanera	-34.6125297	-58.4069319
3	Avenida Montes De Oca 1500, Barracas	-34.6446164	-58.37342710000001
4	Navarro 4700, Villa Devoto	-34.6082199	-58.5172449
5	Pringles 900, Almagro	-34.6014659	-58.4270846
6	Jeronimo Salguero 1900, Palermo	-34.5881304	-58.4147473
7	Olleros 1750, Belgrano	-34.5619601	-58.434902
8	Sarmiento 1400, San Nicolás	-34.6053804	-58.3863349
9	Avenida Directorio 100, Caballito	-34.6274067	-58.4279029
0	Bogotá 800, Caballito	-34.6173486	-58.4425915
1	Luis Maria Campos 357 1° A, Belgrano	-34.5729771	-58.432952
2	Viamonte 800 4º, Retiro	-34.6000457	-58.3782091
3	Avenida Santa Fe 5000, Palermo Hollywood - Palermo	38.1156879	13.3612671
4	Arevalo 1900, Palermo Hollywood - Palermo	38.1156879	13.3612671
5	Avenida Del Libertador 5200, Belgrano	-34.5628791	-58.4395451
6	Amenabar 2300, Belgrano	-34.1367021	-62.4234655
7	Jorge Newbery 1800, Las Cañitas	-34.5681613	-58.435415
8	Avenida Elcano 3500, Colegiales	-34.5766037	-58.4597229
9	Zabala 1700, Belgrano	-34.5636965	-58.442345
0	Julián Álvarez 2400, Palermo	-34.5873732	-58.4158663
1	Av Independencia 4000, Almagro	-13.5192345	-71.9789138
2	Mariano Acha 3100, Villa Urquiza	-34.5651608	-58.4835639
3	Melian, Av. 2500, Belgrano	-34.5694347	-58.4668232
4	Costa Rica 5550, Palermo Hollywood - Palermo	38.1156879	13.3612671
5	Anchorena 700, Almagro	-34.6008547	-58.4092035
6	Larrea 900, Barrio Norte	-34.5963977	-58.4015964
7	Avenida Cabildo 2200, Belgrano	-34.5612981	-58.4575818
8	Arismendi Y Gamarra, Villa Urquiza	0	0
9	Bermudez 1500, Monte Castro	-34.6197244	-58.5091736
0	Arcos 2800 E/congreso Y Quesada, Nuñez	-20.2877726	-45.5396954
1	Thames 300, Villa Crespo	-34.5972009	-58.4458489
2	Luis Viale 2600, Flores	-33.3129223	-66.3553457
3	Juan B Justo 2500, Villa Crespo	-34.594263	-58.4434824
4	Pasco 1100, San Cristobal	-10.6846051	-76.256492
5	Cerviño 3700, Palermo Chico - Palermo	38.1156879	13.3612671
6	Virrey Del Pino 1500, Palermo	-34.9018809	-58.6820977
7	General Gelly Y Obes 2200, Recoleta	-34.58706129999999	-58.3972667
8	Senillosa 300, Caballito	-34.619556	-58.4296614
9	Sanchez De Loria 1300, Boedo	-34.6353939	-58.4104828
0	Mexico 2600, Balvanera	-34.6168469	-58.4025209
1	Dragones 2200, Belgrano	-34.5519102	-58.4418897
2	Montevideo 900, Barrio Norte	-34.5986169	-58.3898139
3	Ciudad De La Paz 200, Belgrano	-34.5567007	-58.4627647
4	Avenida Eva Perón 1300, Parque Chacabuco	-34.6319659	-58.4432619
5	Av Santa Fe 2600, Recoleta	-34.5942459	-58.4035147
6	Gorriti 6000, Palermo Hollywood - Palermo	38.1156879	13.3612671
7	Godoy Cruz 2900, Palermo	-34.5768517	-58.4237251
8	Beruti 3200, Barrio Norte	-34.5882957	-58.4082379
9	Azucena Villaflor 300, Puerto Madero	-34.6120804	-58.3650096
0	Alvarez Thomas 2955 8º, Villa Urquiza	-34.5730214	-58.4811109
1	Olazabal 3600 5º, Belgrano	-34.5677826	-58.47102809999999
2	Martin Garcia 500, Barracas	-34.6342087	-58.3752287
3	Eeuu 4200, Boedo	-34.6233524	-58.4247627
4	Avenida Dorrego 2400, Palermo	-34.5762754	-58.4371834
5	25 De Mayo 700, Centro / Microcentro	-26.8105223	-65.19992359999999
6	Laprida 1300, Barrio Norte	-34.5917935	-58.4051008
7	Montañeses 2900, Nuñez	-34.548395	-58.457494386535
8	Avenida Santa Fe 3700, Palermo	-34.5853403	-58.4159094
9	Riobamba 900, Barrio Norte	-34.5988569	-58.3946199
0	Bulnes 1200, Palermo	-34.5880666	-58.4115341
1	Galileo 2400, Barrio Norte	-34.5858474	-58.3988288
2	O Higgins 1300, Belgrano	-42.91570910000001	-71.3119555
